# Fractal dim =  1.000 
#           N     G/NpiR0^2            GC    Okuzumi+09     Paszun+09 
 9.505083e+04  8.387717e-01  1.000000e+00  5.577193e-01  7.016387e-01 
 1.004625e+05  8.387708e-01  1.000000e+00  5.561559e-01  7.011679e-01 
 1.061823e+05  8.387699e-01  1.000000e+00  5.546070e-01  7.006975e-01 
 1.122277e+05  8.387691e-01  1.000000e+00  5.530723e-01  7.002273e-01 
 1.186174e+05  8.387683e-01  1.000000e+00  5.515517e-01  6.997575e-01 
 1.253708e+05  8.387676e-01  1.000000e+00  5.500450e-01  6.992880e-01 
 1.325087e+05  8.387669e-01  1.000000e+00  5.485521e-01  6.988188e-01 
 1.400531e+05  8.387663e-01  1.000000e+00  5.470729e-01  6.983499e-01 
 1.480269e+05  8.387656e-01  1.000000e+00  5.456071e-01  6.978814e-01 
 1.564548e+05  8.387650e-01  1.000000e+00  5.441547e-01  6.974131e-01 
 1.653624e+05  8.387645e-01  1.000000e+00  5.427154e-01  6.969452e-01 
 1.747773e+05  8.387639e-01  1.000000e+00  5.412892e-01  6.964775e-01 
 1.847281e+05  8.387634e-01  1.000000e+00  5.398759e-01  6.960102e-01 
 1.952456e+05  8.387629e-01  1.000000e+00  5.384754e-01  6.955432e-01 
 2.063618e+05  8.387624e-01  1.000000e+00  5.370875e-01  6.950766e-01 
 2.181109e+05  8.387620e-01  1.000000e+00  5.357120e-01  6.946102e-01 
 2.305289e+05  8.387616e-01  1.000000e+00  5.343489e-01  6.941441e-01 
 2.436540e+05  8.387612e-01  1.000000e+00  5.329981e-01  6.936784e-01 
 2.575263e+05  8.387608e-01  1.000000e+00  5.316593e-01  6.932130e-01 
 2.721885e+05  8.387604e-01  1.000000e+00  5.303325e-01  6.927478e-01 
 2.876854e+05  8.387601e-01  1.000000e+00  5.290175e-01  6.922830e-01 
 3.040646e+05  8.387597e-01  1.000000e+00  5.277141e-01  6.918185e-01 
 3.213764e+05  8.387594e-01  1.000000e+00  5.264224e-01  6.913544e-01 
 3.396739e+05  8.387591e-01  1.000000e+00  5.251422e-01  6.908905e-01 
 3.590130e+05  8.387588e-01  1.000000e+00  5.238732e-01  6.904269e-01 
